City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
601,talcahuano,75,CL,1602987597,81,-36.72,-73.12,53.6,2.24
602,coffs harbour,98,AU,1602987599,64,-30.3,153.13,84.0,8.05
603,disna,100,BY,1602987601,86,55.57,28.2,35.37,5.55
604,lahaina,40,US,1602987603,49,20.88,-156.68,89.6,5.82
605,houma,1,US,1602987606,82,29.6,-90.72,66.0,4.7
606,baracoa,61,CU,1602987608,84,20.35,-74.5,80.37,5.21
607,bolu,100,TR,1602987613,59,40.67,31.58,59.29,0.47
608,necochea,0,AR,1602987615,71,-38.55,-58.74,72.0,17.0
609,padang,100,ID,1602987617,65,-0.95,100.35,83.55,1.28
610,iracoubo,49,GF,1602987619,80,5.48,-53.2,81.68,11.5
611,easley,1,US,1602987621,100,34.83,-82.6,48.99,3.36
612,yokadouma,100,CM,1602987623,95,3.52,15.05,69.17,1.99
613,tolaga bay,0,NZ,1602987625,61,-38.37,178.3,59.95,15.12
614,maningrida,100,AU,1602987628,49,-12.07,134.27,88.14,9.4
615,liberal,1,US,1602987415,31,37.04,-100.92,64.4,13.87
616,bobcaygeon,1,CA,1602987634,74,44.55,-78.54,32.0,4.52
617,lourdes,7,FR,1602987570,81,43.1,-0.05,44.6,6.93
618,fairbanks,100,US,1602987428,50,64.84,-147.72,26.01,3.76
619,mecca,0,SA,1602987640,16,21.43,39.83,77.67,5.93
620,crowthorne,100,GB,1602987448,87,51.37,-0.79,46.99,3.36
621,blackwater,0,AU,1602987645,28,-23.58,148.88,83.23,8.19
622,dalby,100,AU,1602987647,26,-27.18,151.27,86.0,4.0
623,aykhal,0,RU,1602987649,84,66.0,111.5,8.6,2.24
624,san patricio,1,US,1602987651,88,28.02,-97.52,75.99,10.29
625,abha,0,SA,1602987653,28,18.22,42.51,55.4,8.14
626,kaeo,10,NZ,1602987655,64,-35.1,173.78,69.01,8.01
627,kayerkan,85,RU,1602987658,92,69.35,87.76,26.6,8.95
628,bitung,40,ID,1602987660,78,1.45,125.18,82.4,11.41
629,kushima,75,JP,1602987495,63,31.46,131.23,66.2,9.17
630,luanda,75,AO,1602987665,83,-8.84,13.23,75.2,4.7
631,kavieng,10,PG,1602987513,74,-2.57,150.8,84.25,7.61
632,fuchu,75,JP,1602987463,67,35.67,139.48,68.0,9.17
633,muroto,75,JP,1602987672,63,33.28,134.15,64.4,8.05
634,saint-gaudens,0,FR,1602987674,81,43.08,0.67,44.6,6.93
635,umm lajj,0,SA,1602987676,42,25.02,37.27,82.47,7.99
636,borogontsy,98,RU,1602987678,94,62.67,131.17,17.83,5.84
637,sri aman,20,MY,1602987680,94,1.24,111.46,80.6,0.65
638,nakatunguru,58,TZ,1602987682,65,-2.12,33.07,75.81,7.78
639,anadyr,49,RU,1602987685,74,64.75,177.48,37.4,2.24
640,fort nelson,20,CA,1602987687,62,58.81,-122.7,21.2,2.24
641,genhe,55,CN,1602987689,80,50.78,121.52,30.92,9.31
642,mayumba,100,GA,1602987691,88,-3.43,10.66,76.55,5.35
643,matagami,90,CA,1602987449,100,49.75,-77.63,30.2,3.36
644,adelaide,75,AU,1602987647,44,-34.93,138.6,63.0,6.93
645,buchanan,99,LR,1602987697,90,5.88,-10.05,77.23,7.27
646,nuevo imperial,48,PE,1602987699,81,-13.08,-76.32,62.22,3.4
647,sechura,89,PE,1602987702,76,-5.56,-80.82,66.4,9.98
648,ballarat,47,AU,1602987704,57,-37.57,143.85,55.99,1.01
649,gusinoye ozero,100,RU,1602987706,66,51.11,106.26,41.05,4.59
650,saint peter,75,BB,1602987708,88,13.25,-59.62,77.0,11.41
651,gallup,1,US,1602987453,8,35.53,-108.74,62.6,10.29
652,nador,0,MA,1602987502,82,35.17,-2.93,60.8,4.43
653,dalbandin,0,PK,1602987715,38,28.89,64.41,49.17,7.05
654,tautira,40,PF,1602987717,74,-17.73,-149.15,82.4,14.99
655,almaznyy,99,RU,1602987719,59,48.04,40.05,60.8,8.95
656,maltahohe,4,NA,1602987721,22,-24.83,16.98,71.24,14.16
657,consett,100,GB,1602987434,94,54.85,-1.83,45.0,1.01
658,cervo,100,ES,1602987726,100,43.67,-7.41,42.01,1.01
659,kenai,20,US,1602987728,64,60.55,-151.26,39.2,8.05
660,leh,0,IN,1602987501,56,34.17,77.58,38.75,3.22
661,marmande,0,FR,1602987732,96,44.5,0.17,45.0,3.0
662,usolye-sibirskoye,85,RU,1602987736,68,52.75,103.65,40.57,5.68
663,colares,67,PT,1602987738,98,38.8,-9.45,60.01,5.19
664,batagay,100,RU,1602987740,95,67.63,134.63,18.1,4.21
665,bugene,47,TZ,1602987743,79,-1.59,31.14,61.41,1.92
666,port moresby,40,PG,1602987745,62,-9.44,147.18,89.6,11.41
667,kousseri,48,CM,1602987747,88,12.08,15.03,78.8,4.7
668,hervey bay,40,AU,1602987749,44,-25.3,152.85,81.0,9.17
669,sidi ali,0,DZ,1602987751,61,36.1,0.42,59.92,2.24
670,koumac,52,NC,1602987753,70,-20.57,164.28,74.37,6.22
671,bushehr,0,IR,1602987756,56,28.97,50.84,71.6,7.7
672,bheramara,57,BD,1602987759,69,24.02,88.99,83.98,3.58
673,tukrah,59,LY,1602987761,88,32.53,20.58,72.97,13.38
674,gumdag,0,TM,1602987763,35,39.21,54.59,55.98,16.55
675,ibra,65,OM,1602987767,21,22.69,58.53,69.62,9.06
676,santa barbara,1,US,1602987769,35,34.73,-120.03,72.0,3.15
